"","RPKM","LEVEL1","DEPTH"
"316",229.3425424,"Biosynthesis","SRF"
"317",214.0683023,"Biosynthesis","SRF"
"318",190.6570206,"Degradation","SRF"
"319",190.8095946,"Degradation","SRF"
"320",190.9374383,"Biosynthesis","SRF"
"321",221.7110179,"Biosynthesis","SRF"
"322",178.5107126,"Biosynthesis","SRF"
"323",5.9440523,"Degradation","SRF"
"324",187.6298163,"Biosynthesis","SRF"
"325",333.3659384,"Biosynthesis","SRF"
"326",361.825538,"Energy-Metabolism","SRF"
"327",1228.636826,"Biosynthesis","SRF"
"328",2872.21302,"Biosynthesis","SRF"
"329",2879.410747,"Biosynthesis","SRF"
"330",2878.157073,"Biosynthesis","SRF"
"331",3883.228416,"Biosynthesis","SRF"
"332",3883.228416,"Biosynthesis","SRF"
"333",3346.023279,"Biosynthesis","SRF"
"334",1.39773,"Biosynthesis","SRF"
"335",0.0254024,"Degradation","SRF"
"336",0.0202858,"Degradation","SRF"
"337",0.0688409,"Biosynthesis","SRF"
"338",0.203999,"Degradation","SRF"
"339",0.0616412,"Degradation","SRF"
"340",0.209659,"Biosynthesis","SRF"
"341",1.44211,"Degradation","SRF"
"342",1.44211,"Degradation","SRF"
"343",3.26347,"Biosynthesis","SRF"
"344",0.0844954,"Degradation","SRF"
"345",0.45056,"Degradation","SRF"
"346",0.0844954,"Degradation","SRF"
"347",0.109565,"Biosynthesis","SRF"
"348",0.557054,"Biosynthesis","SRF"
"349",0.792046,"Biosynthesis","SRF"
"350",1.86672,"Degradation","SRF"
"351",0.014782,"Degradation","SRF"
"352",0.0241415,"Biosynthesis","SRF"
"353",0.235832,"Degradation","SRF"
"354",0.296519,"Degradation","SRF"
"355",0.209659,"Biosynthesis","SRF"
"356",0.0524761,"Degradation","SRF"
"357",0.0401226,"Degradation","SRF"
"358",1.51485,"Biosynthesis","SRF"
"359",0.0680577,"Degradation","SRF"
"360",1.44211,"Degradation","SRF"
"361",0.0507725,"Biosynthesis","SRF"
"362",0.190447,"Biosynthesis","SRF"
"363",0.0131972,"Biosynthesis","SRF"
"364",0.0202858,"Degradation","SRF"
"365",1.05796,"Biosynthesis","SRF"
"366",0.323366,"Degradation","SRF"
"367",6.36916,"Biosynthesis","SRF"
"368",0.338802,"Degradation","SRF"
"369",0.190447,"Biosynthesis","SRF"
"370",0.0945067,"Biosynthesis","SRF"
"371",0.1097384,"Biosynthesis","SRF"
"372",3.422806,"Biosynthesis","SRF"
"373",1.899365,"Energy-Metabolism","SRF"
"374",1.571331,"Degradation","SRF"
"375",0.0406957,"Biosynthesis","SRF"
"376",0.0262611,"Biosynthesis","SRF"
"377",0.3810144,"Degradation","SRF"
"378",0.1158812,"Degradation","SRF"
"379",0.209659,"Degradation","SRF"
"380",0.1357507,"Biosynthesis","SRF"
"381",0.0945067,"Biosynthesis","SRF"
"382",0.5601875,"Detoxification","SRF"
"383",0.116841,"Degradation","SRF"
"384",1.252266,"Degradation","SRF"
"385",0.0945067,"Biosynthesis","SRF"
"386",0.063709,"Biosynthesis","SRF"
"387",1.14148,"Biosynthesis","SRF"
"388",1.6571337,"Degradation","SRF"
"389",0.0726743,"Degradation","SRF"
"390",0.0726743,"Degradation","SRF"
"391",0.2424536,"Degradation","SRF"
"392",27.2651105,"Biosynthesis","SRF"
"393",1.0150408,"Degradation","SRF"
"394",0.8222253,"Biosynthesis","SRF"
"395",0.338802,"Degradation","SRF"
"396",2.2883007,"Energy-Metabolism","SRF"
"397",27.2651105,"Degradation","SRF"
"398",2.349009,"Biosynthesis","SRF"
"399",0.252457,"Degradation","SRF"
"400",1.29135,"Degradation","SRF"
"401",8.76366,"Degradation","SRF"
"402",0.2123178,"Biosynthesis","SRF"
"403",0.8222253,"Biosynthesis","SRF"
"404",0.6824602,"Degradation","SRF"
"405",0.4114763,"Degradation","SRF"
"406",0.4114763,"Degradation","SRF"
"407",0.4114763,"Degradation","SRF"
"408",1.402966,"Energy-Metabolism","SRF"
"409",1.7741,"Biosynthesis","SRF"
"410",11.908962,"Biosynthesis","SRF"
"411",27.2979441,"Degradation","SRF"
"412",27.2853963,"Degradation","SRF"
"413",2.373884,"Energy-Metabolism","SRF"
"414",0.1935857,"Biosynthesis","SRF"
"415",4.990212,"Biosynthesis","SRF"
"416",4.990212,"Degradation","SRF"
"417",0.6517702,"Biosynthesis","SRF"
"418",1.5245956,"Energy-Metabolism","SRF"
"419",2.2285898,"Biosynthesis","SRF"
"420",0.3962603,"Degradation","SRF"
"421",7.6863622,"Biosynthesis","SRF"
"422",5.111556,"Degradation","SRF"
"423",0.9663373,"Biosynthesis","SRF"
"424",2.2089628,"Biosynthesis","SRF"
"425",2.0246963,"Biosynthesis","SRF"
"426",0.0508697,"Biosynthesis","SRF"
"427",2.9380441,"Biosynthesis","SRF"
"428",0.7399739,"Biosynthesis","SRF"
"429",2.30087,"Biosynthesis","SRF"
"430",2.30087,"Biosynthesis","SRF"
"431",0.2739581,"Degradation","SRF"
"432",0.6927376,"Biosynthesis","SRF"
